,time,fixations
154,6.247944444,"  fixation id           x           y fixation status
0         8.0  802.884000  430.527167          during
1         7.0  735.078613  411.639343         tracked
2         6.0  431.035919  411.394562         tracked
3         5.0  775.412537  390.498657         tracked
4         4.0  768.144043  437.097290         tracked
5         3.0  804.749207  444.883209         tracked"
155,6.281288888,"  fixation id           x           y fixation status
0         8.0  790.166429  443.521857             end
1         7.0  727.325195  412.741302         tracked
2         6.0  419.837677  411.840668         tracked
3         5.0  767.834290  391.111237         tracked
4         4.0  760.793823  437.699310         tracked
5         3.0  797.467407  445.422272         tracked"
156,6.314633333,"   fixation id           x           y fixation status
1          8.0  785.384766  446.497955         tracked
2          7.0  722.038696  415.783112         tracked
4          5.0  762.640320  393.884979         tracked
5          4.0  755.956970  440.741302         tracked
6          3.0  792.697327  448.371124         tracked"
157,6.347977777,"   fixation id           x           y fixation status
1          8.0  783.327148  449.223450         tracked
2          7.0  719.463623  418.864471         tracked
3          5.0  760.154480  396.458923         tracked
4          4.0  753.892639  443.571716         tracked
5          3.0  790.644653  451.080780         tracked"
158,6.381322222,"   fixation id           x           y fixation status
1          8.0  783.871521  451.486969         tracked
2          7.0  719.172729  421.404938         tracked
3          5.0  760.279785  398.522461         tracked
4          4.0  754.395813  445.933594         tracked
5          3.0  791.152283  453.361115         tracked"
159,6.414666666,"   fixation id           x           y fixation status
1          8.0  787.227356  451.884888         tracked
2          7.0  721.643372  421.710999         tracked
3          5.0  763.248108  398.698334         tracked
4          4.0  757.774170  446.454346         tracked
5          3.0  794.534119  453.817200         tracked"
160,6.448,"  fixation id           x           y fixation status
0         9.0  767.719667  423.666833           start
1         8.0  793.141663  449.583252         tracked
2         7.0  726.580139  419.005676         tracked
3         5.0  768.728699  396.230743         tracked
4         4.0  763.671204  444.164520         tracked
5         3.0  800.439819  451.482849         tracked"
161,6.481344444,"  fixation id           x           y fixation status
0         9.0  799.122429  396.129429          during
1         8.0  800.227661  444.151703         tracked
2         7.0  732.766418  413.048157         tracked
3         5.0  775.582031  390.309082         tracked
4         4.0  770.751221  438.822388         tracked
5         3.0  807.527100  446.118958         tracked"
162,6.514688888,"  fixation id           x           y fixation status
0         9.0  808.513286  390.126857          during
1         8.0  806.593567  441.834930         tracked
2         7.0  738.295044  409.740814         tracked
3         5.0  781.912598  387.121185         tracked
4         4.0  777.063904  436.526733         tracked
5         3.0  813.878540  443.895020         tracked"
163,6.548033333,"  fixation id           x           y fixation status
0         9.0  818.003500  394.389500          during
1         8.0  810.699097  444.833527         tracked
2         7.0  741.540222  411.703278         tracked
3         5.0  786.245605  389.701172         tracked
4         4.0  781.148743  439.462097         tracked
5         3.0  817.977173  446.900238         tracked"
164,6.581377777,"  fixation id           x           y fixation status
0         9.0  829.180000  410.401429          during
1         8.0  814.153809  447.684845         tracked
2         7.0  744.356323  413.762909         tracked
3         5.0  790.034668  392.241180         tracked
4         4.0  784.608948  442.195831         tracked
5         3.0  821.437561  449.751129         tracked"
165,6.614711111,"  fixation id           x           y fixation status
0         9.0  834.490857  418.742000          during
1         8.0  818.835327  452.995300         tracked
2         7.0  748.428284  418.316864         tracked
3         5.0  795.080811  397.417450         tracked
4         4.0  789.276062  447.347595         tracked
5         3.0  826.103394  455.000031         tracked"
166,6.648055555,"  fixation id           x           y fixation status
0         9.0  844.921500  408.351500          during
1         8.0  823.633972  460.073914         tracked
2         7.0  752.385193  425.392120         tracked
3         5.0  799.839355  404.661621         tracked
4         4.0  794.046082  454.483948         tracked
5         3.0  830.908997  462.055267         tracked"
167,6.6814,"  fixation id           x           y fixation status
0         9.0  850.990857  409.825000          during
1         8.0  828.846130  461.117493         tracked
2         7.0  756.836914  427.302704         tracked
3         5.0  804.717163  406.098877         tracked
4         4.0  799.220276  455.710907         tracked
5         3.0  836.119873  463.085754         tracked"
168,6.714744444,"  fixation id           x           y fixation status
0         9.0  860.211143  399.089857          during
1         8.0  835.597351  452.671539         tracked
2         7.0  762.776733  420.483582         tracked
3         5.0  811.003784  398.806732         tracked
4         4.0  805.954773  447.232117         tracked
5         3.0  842.897583  454.495483         tracked"
